GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Dominio_it5,Dominio,Estadistica,0,23,0,0,0,10,0,5,0,5
Dominio_it5,Dominio,DTOEstadistica,33,333,8,12,21,73,9,13,1,11
