GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Dominio_it1,Dominio,DTOReserva,285,554,42,18,65,102,29,17,1,12
Dominio_it1,Dominio,Camarero,0,23,0,0,0,10,0,5,0,5
Dominio_it1,Dominio,DTOCamarero,9,124,1,7,6,27,1,8,0,5
Dominio_it1,Dominio,Reserva,0,33,0,0,0,14,0,7,0,7
Dominio_it1,Dominio,Mesa,0,23,0,0,0,10,0,5,0,5
Dominio_it1,Dominio,Turnos,0,37,0,0,0,8,0,1,0,1
Dominio_it1,Dominio,DTOMesa,47,309,13,15,31,69,13,18,0,13
