GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Dominio_it2,Dominio,Comanda,14,35,0,0,3,14,2,6,2,6
Dominio_it2,Dominio,DTOComanda,135,620,17,47,28,132,16,26,1,9
Dominio_it2,Dominio,Alimento,3,40,0,0,1,17,1,8,1,8
Dominio_it2,Dominio,Bebida,0,33,0,0,0,14,0,7,0,7
Dominio_it2,Dominio,DTOAlimento,6,78,0,4,4,16,0,6,0,4
Dominio_it2,Dominio,DTOReceta,6,72,0,4,3,15,1,4,1,2
Dominio_it2,Dominio,Receta,0,23,0,0,0,10,0,5,0,5
Dominio_it2,Dominio,DTOBebida,9,86,1,5,6,22,1,7,0,5
Dominio_it2,Dominio,Ingrediente,0,33,0,0,0,14,0,7,0,7
